Wafer Step,Year,Synthetic_Water_per_Wafer,Synthetic_Water_per_Wafer_noisy,Investment_Level,Wafer_Size,Water_Efficiency_Level,Percent_Reclaimed_Water,Percent_Municipal_Water,Reclamation_Tech_Level,Wafer_Intention,Investment_Efficiency,Water_Stress_Index,Composite_Risk_Score,Year_Squared
Photolithography,29,3.70232e-05,3.54807e-05,211.30957784492267,200,Medium,68.34719626893002,31.65280373106998,5,Current,42.261915568984534,6330.560746213996,106.52799001864807,841
Photolithography,30,3.81339e-05,3.85732e-05,102.14107678630836,450,Medium,82.07509767120132,17.92490232879868,4,Advanced,25.53526919657709,8066.206047959406,66.67896001588375,900
Photolithography,31,3.92779e-05,3.92255e-05,438.3965416440171,450,Medium,57.28439133803155,42.71560866196845,3,Current,146.1321805480057,19222.023897885803,193.4439340590163,961
Photolithography,32,4.04563e-05,3.98441e-05,330.48415707240105,450,Medium,60.93576171475502,39.06423828524498,2,Current,165.24207853620052,17578.907228360244,151.0743913433869,1024
Photolithography,33,4.16699e-05,4.0291e-05,198.90411118369207,450,Low,59.33079481541521,40.66920518458479,3,Current,66.30137039456402,18301.142333063155,98.26088292,1089
Photolithography,34,4.292e-05,4.29786e-05,78.60125762871064,300,Low,70.01185545276627,29.98814454723373,4,Advanced,19.65031440717766,8996.443364,53.64405968731414,1156
Photolithography,35,4.42076e-05,4.21916e-05,189.9420448,300,Medium,38.379075285378775,61.620924714621225,5,Advanced,37.98840895,18486.277414386368,88.99054049443284,1225
Photolithography,36,4.55339e-05,4.62091e-05,196.33249491203617,450,Medium,31.79841539236068,68.20158460763932,3,Current,65.44416497067873,30690.713073437695,88.97252258252269,1296
Photolithography,37,4.68999e-05,4.89143e-05,378.3227802521288,450,Medium,48.47579649547146,51.52420350452854,5,Current,75.66455605042576,23185.891577037844,167.37185104949296,1369
Photolithography,38,4.83069e-05,4.6563e-05,336.9008621098459,300,Medium,72.28084576,27.71915424,5,Current,67.38017242196918,8315.746271,157.9445986,1444
Photolithography,39,4.97561e-05,5.07648e-05,449.24573415934697,300,Low,42.11120713,57.88879287,1,Advanced,449.24573415934697,17366.63786178693,192.6316558019519,1521
Photolithography,40,5.12488e-05,4.88356e-05,262.4967163228772,200,High,70.40594599949503,29.59405400050497,3,Reduced,87.49890544095906,5918.810800100993,127.02047032899941,1600
Photolithography,41,5.27862e-05,5.5228e-05,103.81741067223577,450,Medium,88.19472276643623,11.805277233563771,3,Advanced,34.605803557411924,5312.374755103697,68.88538109882518,1681
Photolithography,42,5.43698e-05,5.67633e-05,370.9601542503477,300,Medium,35.63404295,64.36595705,5,Reduced,74.19203085006954,19309.78711579047,160.57427458434861,1764
Photolithography,43,5.60009e-05,5.81996e-05,392.3532718776039,300,Low,70.35612709350758,29.64387290649242,4,Advanced,98.08831796940098,8893.161871947726,179.24814687909384,1849
Photolithography,44,5.76809e-05,5.91363e-05,302.5747389062733,300,Medium,56.62501315827427,43.37498684172573,1,Current,302.5747389062733,13012.49605251772,138.31739950999162,1936
Photolithography,45,5.94114e-05,6.22655e-05,396.9352309795525,300,Medium,82.08853526265032,17.911464737349675,5,Advanced,79.3870462,5373.439421204903,184.9006529706161,2025
Photolithography,46,6.11937e-05,6.31902e-05,272.20801836397584,300,Low,40.62898736684316,59.371012633156845,2,Reduced,136.10400918198792,17811.303789947055,121.67190355564328,2116
Photolithography,47,6.30295e-05,6.57079e-05,285.2297732218973,200,High,71.55755713356987,28.442442866430127,2,Current,142.61488661094864,5688.488573286026,136.15917642882988,2209
Photolithography,48,6.49204e-05,6.69026e-05,242.3934582613473,300,Low,80.28691737888661,19.713082621113383,1,Advanced,242.3934582613473,5913.924786334015,121.3434585182049,2304
Photolithography,49,6.6868e-05,6.65988e-05,61.43860703484283,300,High,86.67685317,13.323146831558605,4,Advanced,15.359651758710708,3996.9440494675814,51.778498764469546,2401
Photolithography,50,6.88741e-05,7.058e-05,98.55114215,300,Medium,70.99488169737876,29.00511830262124,5,Advanced,19.71022843,8701.535490786373,62.21892136800844,2500
CMP,1,1.6182e-05,1.61615e-05,64.14313355903042,300,Low,59.83048584050564,40.16951415949436,3,Advanced,21.381044519676806,12050.854247848309,44.50639917576386,1
CMP,2,1.66674e-05,1.70315e-05,336.3846850687012,450,Medium,67.07083441207283,32.92916558792717,1,Reduced,336.3846850687012,14818.124514567227,154.97512435110232,4
CMP,3,1.71675e-05,1.73794e-05,191.4601915,300,High,82.13429907,17.865700931276905,4,Current,47.86504787108675,5359.710279383072,102.42436631435572,9
CMP,4,1.76825e-05,1.72139e-05,278.85681102411627,300,Medium,64.23658479832977,35.76341520167023,3,Current,92.95227034137208,10729.024560501068,131.71369984914546,16
CMP,5,1.8213e-05,1.75473e-05,458.40491326674186,450,High,31.82322358181021,68.17677641818979,2,Current,229.20245663337093,30679.549388185405,193.50893238123982,25
CMP,6,1.87594e-05,1.83113e-05,162.18150311699372,300,Medium,85.85692173041866,14.143078269581338,2,Current,81.09075155849686,4242.923480874401,91.22967776592307,36
CMP,7,1.93221e-05,1.93548e-05,234.6723153660334,200,Medium,71.37160506189366,28.62839493810634,3,Advanced,78.22410512201112,5725.678987621268,116.18040766498146,49
CMP,8,1.99018e-05,2.05975e-05,389.9980123443719,200,High,70.59080314663478,29.409196853365216,1,Advanced,389.9980123443719,5881.839370673043,177.4764458817392,64
CMP,9,2.04988e-05,1.97128e-05,152.9591744712301,300,Low,42.94050914386303,57.05949085613697,2,Current,76.47958723561506,17117.84725684109,74.66582253165096,81
CMP,10,2.11138e-05,2.02325e-05,84.64095942295685,300,Medium,69.53312821395943,30.46687178604057,5,Reduced,16.92819188459137,9140.061536,56.21632223337057,100
CMP,11,2.17472e-05,2.26089e-05,180.3881538111956,300,Low,53.63186433924951,46.36813566075049,3,Advanced,60.129384603731864,13910.440698225148,89.14482083,121
CMP,12,2.23996e-05,2.24801e-05,122.54957926430198,300,High,69.07397862248953,30.926021377510462,3,Advanced,40.84985975476733,9277.806413253138,70.64202529246765,144
CMP,13,2.30716e-05,2.30964e-05,468.36394355415786,200,High,36.39558181847944,63.60441818152056,2,Current,234.18197177707893,12720.883636304112,198.864252,169
CMP,14,2.37638e-05,2.3598e-05,413.65417080398765,200,Low,69.47071827618217,30.52928172381783,1,Reduced,413.65417080398765,6105.856344763566,186.60288380444973,196
CMP,15,2.44767e-05,2.54394e-05,335.03169042969057,300,Medium,89.96482354623998,10.035176453760016,5,Advanced,67.00633808593811,3010.552936128005,162.50212323574823,225
CMP,16,2.5211e-05,2.56243e-05,442.15726558447295,300,High,32.892722331633365,67.10727766836663,1,Current,442.15726558447295,20132.18330050999,187.03072293327924,256
CMP,17,2.59673e-05,2.67855e-05,411.6524346046015,300,Low,88.63045105327905,11.369548946720954,4,Reduced,102.91310865115038,3410.8646840162864,192.45010915782433,289
CMP,18,2.67463e-05,2.59674e-05,133.95652649871613,300,Medium,54.41447764337224,45.58552235662776,4,Advanced,33.48913162467903,13675.65670698833,71.10695389249813,324
CMP,19,2.75487e-05,2.63698e-05,451.6515493,450,High,82.24520702023554,17.75479297976446,2,Advanced,225.8257747,7989.656840894007,205.93418183426667,361
CMP,20,2.83752e-05,2.79746e-05,292.7040088620428,300,Low,76.94312904349641,23.056870956503587,2,Current,146.3520044310214,6917.061286951076,140.76454225786605,400
CMP,21,2.92265e-05,2.78035e-05,413.34806982382815,300,Medium,64.02097565920008,35.979024340799924,2,Reduced,206.67403491191408,10793.707302239978,185.1455206272913,441
CMP,22,3.01033e-05,3.10865e-05,453.24108496557193,300,Low,74.30695255507959,25.69304744492041,4,Advanced,113.31027124139298,7707.914233476123,204.78851975275265,484
CMP,23,3.10063e-05,3.19816e-05,193.10156373733875,300,High,82.71093367808086,17.289066321919137,1,Current,193.10156373733875,5186.719896575741,102.35390559835976,529
CMP,24,3.19365e-05,3.23162e-05,99.52336603745454,300,High,54.24841929906198,45.75158070093802,1,Current,99.52336603745454,13725.474210281407,56.38387220470041,576
CMP,25,3.28946e-05,3.36098e-05,152.57082314387375,450,High,49.62198969379432,50.37801030620568,2,Current,76.28541157193688,22670.104637792556,76.51492617,625
CMP,26,3.38815e-05,3.39931e-05,242.19850488181532,450,Medium,70.05560313381508,29.94439686618492,5,Current,48.43970097636306,13474.978589783213,119.39608289287067,676
CMP,27,3.48979e-05,3.54493e-05,418.1066446651219,200,High,78.47075651647552,21.52924348352448,1,Current,418.1066446651219,4305.848696704896,191.08388482099144,729
CMP,28,3.59449e-05,3.75626e-05,437.32876246535454,450,High,75.73710808659695,24.262891913403053,4,Current,109.33219061633864,10918.301361031374,198.85263741212088,784
CMP,29,3.70232e-05,3.53243e-05,53.12845873903581,300,Medium,77.86881893151806,22.131181068481936,3,Current,17.709486246345268,6639.354320544581,45.51202917506974,841
CMP,30,3.81339e-05,3.92702e-05,279.8362861599046,300,High,56.13499888877598,43.86500111122402,3,Current,93.27876205330153,13159.500333367205,129.67501413059466,900
CMP,31,3.92779e-05,4.02316e-05,237.83495141695056,300,Low,79.07005297,20.929947029498702,3,Current,79.27831713898352,6278.9841088496105,119.75499645793062,961
CMP,32,4.04563e-05,3.88455e-05,149.9485147118286,450,Medium,37.212543322236506,62.78745667776349,5,Reduced,29.98970294236572,28254.355504993568,72.64316888,1024
CMP,33,4.16699e-05,3.98184e-05,103.93941530015726,300,Low,62.669345877650976,37.330654122349024,2,Advanced,51.96970765007863,11199.196236704707,60.97656988,1089
CMP,34,4.292e-05,4.17785e-05,201.9268271316326,300,Low,30.345519629887296,69.65448037011271,4,Reduced,50.48170678290815,20896.344111033814,91.07438674161924,1156
CMP,35,4.42076e-05,4.39865e-05,474.3093667606336,300,Low,49.47514979401622,50.52485020598378,5,Reduced,94.86187335212672,15157.455061795135,206.06629164245834,1225
CMP,36,4.55339e-05,4.74529e-05,195.44131940933983,300,Medium,51.98769209228387,48.01230790771613,4,Advanced,48.86032985233496,14403.692372314837,94.97283539,1296
CMP,37,4.68999e-05,4.5849e-05,283.45577978451473,200,Medium,53.77036149655533,46.22963850344468,4,Current,70.86394494612868,9245.927700688937,130.7134203627725,1369
CMP,38,4.83069e-05,4.93792e-05,366.3585315,200,Medium,71.72803240139173,28.27196759860827,2,Current,183.1792658,5654.393519721654,168.6618223215495,1444
CMP,39,4.97561e-05,4.86645e-05,213.63332107068229,200,Low,53.31348607622074,46.68651392377926,3,Advanced,71.21110702356076,9337.302784755851,102.34737425113916,1521
CMP,40,5.12488e-05,4.88464e-05,487.3019372244323,200,Medium,56.92161735735184,43.078382642648165,2,Advanced,243.65096861221616,8615.676528529633,212.59726009697846,1600
CMP,41,5.27862e-05,5.47216e-05,483.1012827239501,200,Medium,44.252647852459646,55.747352147540354,5,Advanced,96.62025654479001,11149.47042950807,208.01630744531795,1681
CMP,42,5.43698e-05,5.58457e-05,163.30203312141387,300,Medium,52.39510749776041,47.60489250223959,5,Advanced,32.66040662428277,14281.467750671878,82.53934549789368,1764
CMP,43,5.60009e-05,5.46163e-05,273.7618276515734,200,Medium,43.63617763578909,56.36382236421091,5,Reduced,54.752365530314684,11272.764472842182,124.0955843513661,1849
CMP,44,5.76809e-05,5.86664e-05,185.39523941754635,300,Medium,34.39175542610662,65.60824457389339,2,Advanced,92.69761970877317,19682.473372168017,85.07562239485051,1936
CMP,45,5.94114e-05,5.6923e-05,178.17822246986043,450,High,66.20691560288267,33.793084397117326,4,Reduced,44.54455561746511,15206.887978702796,92.33336366880897,2025
CMP,46,6.11937e-05,5.9328e-05,66.59912630953976,300,Medium,70.09276791330097,29.907232086699025,4,Current,16.64978157738494,8972.169626009707,48.86748089780619,2116
CMP,47,6.30295e-05,6.22726e-05,324.3039502909536,300,Low,67.16942076057687,32.83057923942313,1,Reduced,324.3039502909536,9849.173772,150.1724063445545,2209
CMP,48,6.49204e-05,6.49987e-05,276.2055604529877,200,Low,57.80964262803434,42.19035737196566,5,Current,55.24111209059754,8438.071474393131,129.32511696960538,2304
CMP,49,6.6868e-05,6.65168e-05,73.16543806249521,200,High,52.78714681075379,47.21285318924621,4,Advanced,18.291359515623803,9442.570637849241,46.302319268224224,2401
CMP,50,6.88741e-05,6.90515e-05,175.39090890647515,200,Low,81.80001897430952,18.19998102569048,1,Current,175.39090890647515,3639.9962051380962,94.99636925488291,2500
Etching,1,1.0788e-05,1.03303e-05,458.7196486849942,200,High,61.144907108173086,38.855092891826914,4,Advanced,114.67991217124855,7771.018578365382,203.03133160644958,1
Etching,2,1.11116e-05,1.10492e-05,157.8028508001376,300,Medium,58.75091265778386,41.24908734221614,5,Current,31.56057016002752,12374.726202664842,82.24641412,4
Etching,3,1.1445e-05,1.11613e-05,115.2026924410504,200,High,31.538523948386143,68.46147605161386,3,Reduced,38.40089748035013,13692.29521032277,56.44263416,9
Etching,4,1.17883e-05,1.18151e-05,270.2537421249034,200,Medium,50.474869657569386,49.52513034243061,5,Advanced,54.05074842498068,9905.026068486122,124.74395774723217,16
Etching,5,1.2142e-05,1.25831e-05,493.5427043497703,200,High,52.811737127151424,47.188262872848576,2,Advanced,246.77135217488515,9437.652574569714,213.86060287805356,25
Etching,6,1.25062e-05,1.21917e-05,158.9248721801752,300,Medium,53.92936685381403,46.07063314618597,4,Current,39.73121805,13821.18994385579,80.94875892821429,36
Etching,7,1.28814e-05,1.34336e-05,352.4609963326453,300,Medium,64.81034215363994,35.18965784636006,4,Reduced,88.11524908316133,10556.89735390802,161.6275011791501,49
Etching,8,1.32679e-05,1.31521e-05,392.7288268979229,300,Medium,62.01615280361271,37.983847196387295,2,Current,196.36441344896144,11395.154158916188,176.29637660025296,64
Etching,9,1.36659e-05,1.43202e-05,156.93689479657985,300,Medium,66.47430556760668,33.52569443239332,2,Advanced,78.46844739828992,10057.708329717996,83.31704958891395,81
Etching,10,1.40759e-05,1.46084e-05,377.6973568753368,300,Medium,75.89299569,24.10700430747229,3,Current,125.89911895844561,7232.101292241688,174.74684145789305,100
Etching,11,1.44982e-05,1.44091e-05,215.5024097,200,High,78.77914432,21.220855677034397,4,Advanced,53.87560243,4244.171135406879,111.03470718635528,121
Etching,12,1.49331e-05,1.53067e-05,334.53762376711074,300,High,73.08738457358967,26.912615426410326,4,Current,83.63440594177769,8073.784627923098,156.9412648789212,144
